指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
一次能源生产总量(万吨标准煤),466000,427115,407295,397317,378859,358867,345954,362193,362212,358784,351041,340178,312125,286092,277419,264173,244763,229037,206108,178299
原煤占一次能源生产总量的比重(%),67.4,66.7,67.5,68.5,69.2,69.6,69.8,72.2,73.5,75.4,76.2,77.8,76.2,76.8,76.8,77.8,77.5,77.4,76.7,75.7
原油占一次能源生产总量的比重(%),6.3,6.7,6.8,6.9,7.2,7.6,8.3,8.5,8.3,8.4,8.5,8.5,9.3,9.4,9.8,10.1,10.8,11.3,12.2,13.6
天然气占一次能源生产总量的比重(%),5.9,6.0,6.0,5.6,5.4,5.4,5.2,4.8,4.7,4.4,4.1,4.1,4.1,4.0,3.9,3.5,3.2,2.9,2.7,2.6
一次电力及其他能源占一次能源生产总量的比重(%),20.4,20.6,19.7,19.0,18.2,17.4,16.7,14.5,13.5,11.8,11.2,9.6,10.4,9.8,9.5,8.6,8.5,8.4,8.4,8.1
焦炭生产量(万吨),47343.64,46445.78,47116.12,47126.16,44834.20,43142.55,44911.48,44822.54,47980.86,48179.38,43831.45,43433.00,38657.83,35744.05,32313.94,33105.28,30074.36,26511.70,20537.58,17775.71
原油生产量(万吨),,19888.11,19476.86,19101.41,18932.42,19150.61,19968.52,21455.58,21142.90,20991.90,20747.80,20287.60,20301.40,18949.00,19043.96,18631.82,18476.57,18135.29,17587.32,16959.98
汽油生产量(万吨),,,,,,,,,,,8975.60,7917.90,7360.47,7320.66,6347.18,5917.90,5594.96,5433.00,5265.25,4790.86
煤油生产量(万吨),,,,,,,,,,,2131.40,1932.40,1924.39,1480.30,1158.90,1153.28,975.48,1006.48,962.24,855.30
柴油生产量(万吨),,,,,,,,,,,17063.70,15689.70,14924.38,14288.57,13409.15,12359.11,11762.40,11090.19,9843.60,8532.78
燃料油生产量(万吨),,,,,,,,,,,1929.10,2301.80,2536.97,1353.36,1737.40,1967.24,1784.65,1767.41,2029.28,2004.84
天然气生产量(亿立方米),2201.10,2075.80,1924.95,1753.62,1601.59,1480.35,1368.65,1346.10,1301.57,1208.58,1106.08,1053.37,957.91,852.69,802.99,692.40,585.53,493.20,414.60,350.15
发电量(亿千瓦小时),88487.12,85342.50,77790.60,75034.28,71661.33,66044.47,61331.60,58145.73,57944.57,54316.35,49875.53,47130.19,42071.60,37146.51,34668.82,32815.53,28657.26,25002.60,22033.10,19105.75
水力发电量(亿千瓦小时),13521.95,13390.00,13552.09,13044.38,12317.87,11978.65,11840.48,11302.70,10728.82,9202.92,8721.07,6989.45,7221.72,6156.44,5851.87,4852.64,4357.86,3970.17,3535.44,2836.81
火力发电量(亿千瓦小时),58887.95,58058.68,53302.48,52201.48,50963.18,47546.00,44370.68,42841.88,44001.11,42470.10,38928.10,38337.02,33319.28,29827.76,27072.30,27229.33,23696.03,20473.36,17956.00,15804.00
